FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.344,344,0,POINT (-60.40663287299998 -35.06627192999997),Estación Mechita,Estación,Mechita,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.345,345,0,POINT (-60.478544038999985 -35.119732657999975),Estación Bragado,Estación,Bragado,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.346,346,0,POINT (-61.00129478499997 -35.515245198999935),Estación Manuel B. Gonnet,Estación,Manuel B. Gonnet,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.347,347,0,POINT (-61.24317771999995 -35.59174468499998),Estación La Dorita,Estación,La Dorita,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.348,348,0,POINT (-61.36320816699998 -35.62946478699996),Estación Carlos Casares,Estación,Carlos Casares,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.349,349,0,POINT (-60.86524903199995 -35.032753670999966),Estación San Emilio,Estación,San Emilio,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.350,350,0,POINT (-57.744731926999975 -36.20159877899994),Estación Sevigné,Estación,Sevigné,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.351,351,0,POINT (-57.81049398999994 -36.09304139799997),Estación Castelli,Estación,Castelli,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.352,352,0,POINT (-61.40761413599995 -35.29087923099996),Estación Facundo Quiroga,Estación,Facundo Quiroga,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.353,353,0,POINT (-60.642994649999935 -35.82306584899993),Estación Huetel,Estación,Huetel,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.354,354,0,POINT (-58.58376388399995 -35.87558717099995),Estación Chas,Estación,Chas,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.355,355,0,POINT (-59.78381609999997 -35.635581367999976),Estación Saladillo,Estación,Saladillo,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.356,356,0,POINT (-59.51124763399997 -35.51009487199997),Estación del Carril,Estación,del Carril,6,IGN/Ministerio de Transporte de la Nación,IGN
