FID,gid,entidad,geom,fna,gna,nam,fun,atv,fdc,sag
puntos_de_transporte_aereo_GB001.115,115,1,POINT (-61.949491068999976 -37.053208548999976),Aeródromo Huanguelén,Aeródromo,Huanguelén,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.116,116,1,POINT (-62.87658808799995 -36.44217138499994),Aeródromo Tres Lomas,Aeródromo,Tres Lomas,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.117,117,1,POINT (-57.95901778199993 -34.87717741399996),Aeródromo Tolosa,Aeródromo,Tolosa,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.118,118,1,POINT (-61.014920065999945 -34.65550071399997),Aeródromo Laguna de Gómez,Aeródromo,Laguna de Gómez,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.119,119,1,POINT (-61.534825781999984 -34.88928274899996),Aeródromo Lincoln,Aeródromo,Lincoln,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.120,120,1,POINT (-59.28895421399994 -35.02316031299995),Aeródromo Navarro,Aeródromo,Navarro,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.121,121,1,POINT (-60.22323940999996 -36.89108445199997),Aeródromo Olavarría,Aeródromo,Olavarría,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.122,122,1,POINT (-62.21657544699997 -35.10873751399998),Aeródromo Las Lilas,Aeródromo,Las Lilas,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.123,123,1,POINT (-61.86196012399995 -35.843063997999934),Aeródromo Comodoro Pedro Zanni,Aeródromo,Comodoro Pedro Zanni,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.124,124,1,POINT (-61.94251522999997 -35.79102766099993),Aeródromo La Mariela,Aeródromo,La Mariela,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.125,125,1,POINT (-63.15060956399998 -36.277235417999975),Aeródromo Pellegrini,Aeródromo,Pellegrini,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.126,126,1,POINT (-60.66895638099999 -34.210525778999965),Aeródromo Rojas,Aeródromo,Rojas,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.127,127,1,POINT (-60.28722908399993 -34.30477776999993),Aeródromo Salto,Aeródromo,Salto,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.128,128,1,POINT (-60.62680795099993 -25.93590409999996),Aeródromo Juan José Castelli,Aeródromo,Juan José Castelli,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.129,129,1,POINT (-61.20607713399994 -27.21600670199996),Aeródromo Charata,Aeródromo,Charata,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.130,130,1,POINT (-59.34984339599998 -26.515539218999947),Aeródromo General José de San Martín,Aeródromo,General José de San Martín,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.131,131,1,POINT (-59.66379797199994 -26.138373829999978),Aeródromo Estancia La Leonor,Aeródromo,Estancia La Leonor,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.132,132,1,POINT (-60.68269569199998 -27.59347465999997),Aeródromo Villa Ángela,Aeródromo,Villa Ángela,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.133,133,1,POINT (-62.67584308399995 -34.25517634099998),Aeródromo BSG,Aeródromo,BSG,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.134,134,1,POINT (-61.00947743199998 -34.57837598599997),Aeródromo SaforcadaParajón,Aeródromo,Saforcada-Parajón,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.135,135,1,POINT (-67.09613892899995 -27.70820538199996),Aeródromo Belén,Aeródromo,Belén,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.136,136,1,POINT (-67.57833610199998 -28.039932848999968),Aeródromo Tinogasta,Aeródromo,Tinogasta,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.137,137,1,POINT (-65.11204502099997 -28.623438282999928),Aeródromo Frías,Aeródromo,Frías,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.138,138,1,POINT (-58.76230324799997 -35.45668881499995),Aeródromo San Miguel del Monte,Aeródromo,San Miguel del Monte,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.139,139,1,POINT (-58.98840822699998 -37.347204217999945),Aeródromo Comandante Eduardo A. Olivero,Aeródromo,Comandante Eduardo A. Olivero,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.140,140,1,POINT (-70.81809960799995 -45.015876498999944),Aeródromo D. Casimiro Szlapelis,Aeródromo,D. Casimiro Szlapelis,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.141,141,1,POINT (-71.48563557799997 -43.53295604099998),Aeródromo El Corcovado,Aeródromo,El Corcovado,6,9,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB001.142,142,1,POINT (-62.77730884999994 -35.97518074299995),Aeródromo Ñanco Lauquen,Aeródromo,Ñanco Lauquen,6,9,IGN/ANAC,IGN
